,Unnamed: 0,CASE_STATUS,JOB_TITLE,SOC_TITLE,PREVAILING_WAGE,PW_UNIT_OF_PAY,BEGIN_DATE,END_DATE,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,PW_WAGE_LEVEL,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_WORKERS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
47,47,Certified,Process Engineer,Materials Engineers,"$90,272.00 ",Year,12/26/2024,12/25/2027,0,0,0,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
59,59,Certified,Web Application Developer,Software Developers,"$64,106.00 ",Year,5/24/2025,5/23/2028,0,1,0,0,0,"iZeal, Inc",I,Sterling,VA,1,Charleston,KANAWHA,WV,25301
607,607,Certified,Managing Director,Financial and Investment Analysts,"$144,123.00 ",Year,2/4/2025,2/3/2027,0,1,0,0,0,SUN MOUNTAIN CAPITAL LLC,IV,Santa Fe,NM,1,Santa Fe,SANTA FE,NM,87505
823,823,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/20/2024,12/19/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
988,988,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/20/2024,12/19/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
2699,2699,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/20/2024,12/19/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
3333,3333,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/19/2024,12/18/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
3567,3567,Certified,Project Manager,Construction Managers,"$63,835.00 ",Year,1/6/2025,1/5/2028,0,0,0,0,1,"HB Construction, Inc.",I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
3691,3691,Certified,Programmer Analyst,"Computer Occupations, All Other","$53,186.00 ",Year,2/1/2025,1/31/2028,0,1,0,0,0,Augustana University,I,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57197
4321,4321,Certified,Process Engineer,Materials Engineers,"$90,272.00 ",Year,12/23/2024,12/22/2027,0,0,0,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
4814,4814,Certified - Withdrawn,ASSISTANT PROFESSOR OF ECONOMICS,"Economics Teachers, Postsecondary","$63,600.00 ",Year,4/30/2024,8/21/2025,0,1,0,0,0,MARSHALL UNIVERSITY ,II,Huntington,WV,1,HUNTINGTON,CABELL,WV,25755
4825,4825,Certified - Withdrawn,ASSISTANT PROFESSOR,"Engineering Teachers, Postsecondary","$70,477.00 ",Year,7/4/2023,7/3/2026,1,0,0,0,0,MARSHALL UNIVERSITY ,II,Huntington,WV,1,HUNTINGTON,CABELL,WV,25755
4843,4843,Certified - Withdrawn,ASSISTANT TENNIS COACH,Coaches and Scouts,"$37,963.00 ",Year,2/14/2022,2/13/2025,0,0,0,0,1,MARSHALL UNIVERSITY ,II,Huntington,WV,1,HUNTINGTON,CABELL,WV,25755
4844,4844,Certified - Withdrawn,POSTDOCTORAL FELLOW,"Medical Scientists, Except Epidemiologists","$48,942.00 ",Year,1/18/2022,1/17/2025,0,0,0,0,1,MARSHALL UNIVERSITY ,I,Huntington,WV,1,HUNTINGTON,CABELL,WV,25703
5630,5630,Certified,Software Developer,Software Developers,"$90,085.00 ",Year,6/14/2025,6/13/2028,0,1,0,0,0,Ykunt Inc AKA Techday Inc,II,Houston,TX,1,Santa Fe,SANTA FE,NM,87501
5779,5779,Certified,Assistant Professor (Thoracic Surgery),"Health Specialties Teachers, Postsecondary",$25.81 ,Hour,1/1/2025,12/31/2027,0,0,0,1,0,West Virginia University,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
6141,6141,Certified,Software Engineer,Computer Systems Analysts,$34.49 ,Hour,12/23/2024,12/22/2027,0,0,0,0,1,Populus Group LLC,I,Troy,MI,1,Anchorage,ANCHORAGE,AK,99508
6192,6192,Certified,Process Engineer,Materials Engineers,"$110,219.00 ",Year,12/20/2024,12/19/2027,0,0,0,0,0,Intel Corporation ,III,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
6564,6564,Certified - Withdrawn,Postdoctoral Research Associate - Remote Sensing/GSCE,Remote Sensing Scientists and Technologists,"$46,821.00 ",Year,12/22/2023,12/21/2026,0,1,0,0,0,South Dakota State University,I,Brookings,SD,1,Brookings,BROOKINGS,SD,57007
6565,6565,Certified - Withdrawn,Senior Research Engineer,Materials Engineers,"$79,914.00 ",Year,12/22/2023,12/21/2026,0,1,0,0,0,South Dakota School of Mines and Technology,III,Rapid City,SD,1,Rapid City,PENNINGTON,SD,57701
6569,6569,Certified - Withdrawn,Assistant Professor of Aerospace and Mechanical Engineering,"Engineering Teachers, Postsecondary","$63,520.00 ",Year,8/14/2023,8/13/2026,0,0,0,0,1,South Dakota School of Mines and Technology,I,Rapid City,SD,1,Rapid City,PENNINGTON,SD,57701
6868,6868,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
6906,6906,Certified,Physician (Non-Invasive Cardiology)-Assistant Professor,Cardiologists,"$70,325.00 ",Year,2/24/2025,2/23/2028,1,0,0,0,0,West Virginia University Medical Corporation,I,Morgantown,WV,1,Princeton,MERCER,WV,24740
6992,6992,Certified,Post Doctoral,Biochemists and Biophysicists,"$50,149.00 ",Year,1/15/2025,1/14/2028,0,1,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88003
7239,7239,Certified,"Senior Engineer, Radio Frequency",Electrical Engineers,"$95,490.00 ",Year,4/2/2025,4/1/2028,0,1,0,0,0,"T-Mobile USA, Inc.",,Bellevue,WA,1,Albuquerque,BERNALILLO,NM,87109
7344,7344,Certified,Assistant Professor (Non-Invasive Cardiology),"Health Specialties Teachers, Postsecondary",$26.35 ,Hour,2/24/2025,2/23/2028,0,0,0,1,0,West Virginia University,I,Morgantown,WV,1,Princeton,MERCER,WV,24740
7506,7506,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
7515,7515,Certified,Non-Invasive Cardiology Physician,Cardiologists,"$440,309.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,"Monument Health Rapid City Hospital, Inc.",,Rapid City,SD,1,Rapid City,PENNINGTON,SD,57701
7841,7841,Certified,Physician (Thoracic Surgery)-Assistant Professor,"Surgeons, All Other","$66,602.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,West Virginia University Medical Corporation,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
8011,8011,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
8089,8089,Certified,Postdoctoral Research Associate,Physicists,"$90,504.00 ",Year,2/6/2025,2/6/2026,1,0,0,0,0,"Triad National Security, LLC",,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
8628,8628,Certified,POST DOCTORAL FELLOW,Biochemists and Biophysicists,"$50,149.00 ",Year,2/3/2025,2/2/2028,1,0,0,0,0,MARSHALL UNIVERSITY RESEARCH CORPORATION,I,Huntington,WV,1,HUNTINGTON,CABELL,WV,25703
8837,8837,Certified,High School Reading Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$43,580.00 ",Year,1/13/2025,1/12/2028,1,0,0,0,0,"Sicangu Oyate Ho, Inc. ",I,St Francis,SD,1,St. Francis,TODD,SD,57572
9238,9238,Certified,BILLING AND GENERAL ANALYST,Statisticians,$20.06 ,Hour,1/2/2025,12/31/2027,0,0,0,0,0,InnovateU LLC,I,Reno,NV,1,Huntington,CABELL,WV,25701
9257,9257,Certified,Elementary Bilingual Teacher,"Elementary School Teachers, Except Special Education","$52,500.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,Espanola Public Schools ,,Espanola ,NM,1,Ohkay Owingheh,RIO ARRIBA,NM,87566
9375,9375,Certified,Clinical Research Coordinator,Clinical Research Coordinators,"$86,778.00 ",Year,1/6/2025,1/5/2028,1,0,0,0,0,Dynamed Clinical Research LP,I,Houston,TX,1,Albuquerque,BERNALILLO,NM,87106
9428,9428,Certified,High School Computer Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$43,580.00 ",Year,1/13/2025,1/12/2028,1,0,0,0,0,"Sicangu Oyate Ho, Inc. ",I,St Francis,SD,1,St. Francis,TODD,SD,57572
9674,9674,Certified,Process Engineer,Materials Engineers,"$90,272.00 ",Year,6/11/2025,6/10/2028,0,0,1,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
9837,9837,Certified,Endovascular Neurosurgeon,"Surgeons, All Other","$239,200.00 ",Year,1/31/2025,1/30/2028,1,0,0,0,0,"Charleston Area Medical Center, Inc.",,Charleston,WV,1,Charleston,KANAWHA,WV,25301
10206,10206,Certified - Withdrawn,Scientist 2,Chemical Engineers,"$147,680.00 ",Year,1/6/2025,1/5/2028,0,0,1,0,0,"Triad National Security, LLC",III,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
10574,10574,Certified,Postdoctoral Fellow,"Geoscientists, Except Hydrologists and Geographers","$57,574.00 ",Year,1/20/2025,1/19/2028,1,0,0,0,0,New Mexico Institute of Mining and Technology,I,Socorro,NM,1,Socorro,SOCORRO,NM,87801
10842,10842,Certified,Assistant Professor,"Business Teachers, Postsecondary","$53,400.00 ",Year,5/1/2025,4/30/2028,0,1,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88003
11041,11041,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/13/2024,12/12/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
11395,11395,Certified,Software Engineer,Computer Programmers,$31.57 ,Hour,12/23/2024,12/22/2027,0,0,0,0,1,Populus Group LLC,I,Troy,MI,1,Anchorage,ANCHORAGE,AK,99508
11458,11458,Certified - Withdrawn,Clinical Research Coordinator I,Clinical Research Coordinators,"$86,778.00 ",Year,1/6/2025,5/7/2025,1,0,0,0,0,Dynamed Clinical Research LP,I,Houston,TX,1,Albuquerque,BERNALILLO,NM,87106
12257,12257,Withdrawn,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
12761,12761,Certified,RN Inpatient III,Registered Nurses,$32.22 ,Hour,6/1/2025,5/31/2028,5,0,0,0,0,UNM Hospital,,Albuquerque,NM,5,Albuquerque,BERNALILLO,NM,87106
12941,12941,Certified,APRN Inpatient,Nurse Practitioners,$45.69 ,Hour,5/11/2025,5/10/2028,1,0,0,0,0,UNM Hospital,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
