,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
0,AK,13,2.0,68931.4,68931.4,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
1,AK,15,4.0,74630.4,70798.0,3832.399999999998,1.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,AK,17,4.0,100891.0,94775.0,6116.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
3,AK,19,1.0,52603.0,52603.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,AK,25,27.0,76608.49037037037,60112.28888888889,16496.201481481483,1.2222222222222223,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,0.0,0.0
5,AL,11,5.0,124711.8,115415.0,9296.8,2.2,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.2
6,AL,13,10.0,127931.68000000001,58868.2,69063.48000000001,1.5,0.1,0.1,0.3,0.1,0.0,0.0,0.4,0.2
7,AL,15,143.0,89807.0848951049,80296.37762237762,9510.707272727273,2.195804195804196,0.1888111888111888,0.2517482517482518,0.23776223776223776,0.3006993006993007,0.013986013986013986,0.0,0.18181818181818182,0.2727272727272727
8,AL,17,21.0,96098.43238095238,88359.33333333333,7739.099047619045,2.5238095238095237,0.047619047619047616,0.0,0.2857142857142857,0.23809523809523808,0.0,0.0,0.42857142857142855,0.047619047619047616
9,AL,19,35.0,76503.16799999999,60652.8,15850.368,1.5714285714285714,0.02857142857142857,0.0,0.5428571428571428,0.2857142857142857,0.05714285714285714,0.0,0.02857142857142857,0.08571428571428572
10,AL,21,1.0,37440.0,36878.4,561.5999999999985,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,AL,25,18.0,102695.70222222223,69043.27777777778,33652.42444444445,1.3888888888888888,0.0,0.0,0.5555555555555556,0.2222222222222222,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555
12,AL,29,20.0,146825.03,76890.35,69934.68,1.7,0.4,0.1,0.7,0.15,0.0,0.0,0.1,0.05
13,AR,11,36.0,174014.52472222224,120797.16666666667,53217.35805555556,2.25,0.3055555555555556,0.027777777777777776,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.027777777777777776,0.1111111111111111,0.3611111111111111
14,AR,13,8.0,101688.8175,70750.95,30937.8675,2.875,0.0,0.125,0.25,0.125,0.125,0.0,0.25,0.25
15,AR,15,743.0,124503.84336473756,92134.61857335127,32369.22479138627,2.625841184387618,0.180349932705249,0.17496635262449528,0.04845222072678331,0.24226110363391656,0.03768506056527591,0.0026917900403768506,0.26648721399730824,0.40242261103633914
16,AR,17,13.0,130145.79769230771,94177.61538461539,35968.18230769231,3.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.15384615384615385,0.6923076923076923
17,AR,19,9.0,77216.0,59592.11111111111,17623.88888888889,1.5555555555555556,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
18,AR,25,25.0,55762.7208,50348.0,5414.720799999999,1.4,0.04,0.0,0.44,0.16,0.2,0.04,0.08,0.08
19,AR,27,4.0,107140.6225,54298.25,52842.3725,2.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5
20,AR,29,15.0,107720.32000000002,89320.76,18399.56,2.8666666666666667,0.0,0.0,0.2,0.6,0.0,0.0,0.13333333333333333,0.06666666666666667
21,AR,41,3.0,95170.68666666666,88247.66666666667,6923.0199999999995,2.6666666666666665,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
22,AZ,11,216.0,145401.8162037037,133134.83333333334,12266.98287037037,2.236111111111111,0.06944444444444445,0.032407407407407406,0.2777777777777778,0.06944444444444445,0.17592592592592593,0.004629629629629629,0.1527777777777778,0.3194444444444444
23,AZ,13,95.0,93695.69105263158,76584.23789473684,17111.45315789474,2.336842105263158,0.07368421052631578,0.10526315789473684,0.14736842105263157,0.23157894736842105,0.05263157894736842,0.0,0.22105263157894736,0.3473684210526316
24,AZ,15,1695.0,125542.75804129793,111137.40932153392,14405.348719764012,2.7008849557522123,0.30737463126843656,0.3286135693215339,0.047787610619469026,0.26902654867256637,0.12212389380530973,0.0,0.2247787610619469,0.3374631268436578
25,AZ,17,133.0,111494.28090225563,99661.89022556391,11832.39067669173,2.398496240601504,0.06015037593984962,0.15789473684210525,0.16541353383458646,0.3609022556390977,0.13533834586466165,0.0,0.22556390977443608,0.12781954887218044
26,AZ,19,42.0,77622.71047619048,68141.34761904762,9481.362857142856,1.7857142857142858,0.0,0.07142857142857142,0.42857142857142855,0.30952380952380953,0.023809523809523808,0.0,0.21428571428571427,0.023809523809523808
27,AZ,21,4.0,46427.75,45718.25,709.5,1.25,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0
28,AZ,25,51.0,74940.49019607843,53550.737254901964,21389.75294117647,1.1568627450980393,0.0,0.0,0.3333333333333333,0.5098039215686274,0.0,0.0,0.1568627450980392,0.0
29,AZ,27,5.0,56652.99199999999,49390.6,7262.392,1.6,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.4
30,AZ,29,40.0,173800.73575,118535.05500000002,55265.68075,2.65,0.175,0.025,0.325,0.275,0.1,0.075,0.15,0.125
31,AZ,41,6.0,130651.10833333334,122859.0,7792.108333333333,2.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666
32,AZ,43,11.0,49350.63636363636,46321.454545454544,3029.181818181818,1.0909090909090908,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0
33,CA,11,1922.0,221024.667648283,208600.09103017693,12424.576618106139,2.735171696149844,0.008324661810613945,0.25494276795005205,0.10718002081165452,0.31477627471383973,0.11602497398543184,0.0015608740894901144,0.22320499479708636,0.23881373569198752
34,CA,13,1239.0,135686.68320419695,114896.30518159807,20790.37802259887,2.767554479418886,0.04600484261501211,0.09927360774818401,0.11864406779661017,0.2679580306698951,0.07506053268765134,0.0008071025020177562,0.25585149313962874,0.28329297820823246
35,CA,15,17520.0,176529.2810799087,164777.1359954338,11752.145084474885,2.740296803652968,0.08681506849315068,0.28635844748858447,0.15273972602739727,0.33573059360730595,0.10776255707762557,0.0006849315068493151,0.22979452054794522,0.1740296803652968
36,CA,17,4709.0,170281.9661945211,163264.3825270758,7017.583667445318,3.0269696326183904,0.058611170099808874,0.48587810575493734,0.17434699511573581,0.2633255468252283,0.18602675727330645,0.00042471862391165854,0.22127840305797408,0.1552346570397112
37,CA,19,541.0,113757.85340110905,97409.77153419593,16348.081866913126,2.014787430683919,0.014787430683918669,0.09426987060998152,0.41035120147874304,0.2088724584103512,0.09426987060998152,0.0,0.14972273567467653,0.1367837338262477
38,CA,21,29.0,77114.99034482759,63969.384827586204,13145.60551724138,1.9310344827586208,0.034482758620689655,0.0,0.4482758620689655,0.2413793103448276,0.0,0.0,0.27586206896551724,0.06896551724137931
39,CA,23,55.0,174148.09818181818,151623.52363636362,22524.574545454547,1.9636363636363636,0.0,0.07272727272727272,0.12727272727272726,0.4,0.0,0.01818181818181818,0.38181818181818183,0.07272727272727272
40,CA,25,116.0,123709.68715517242,80217.55689655172,43492.130258620695,1.4137931034482758,0.08620689655172414,0.017241379310344827,0.5603448275862069,0.19827586206896552,0.06896551724137931,0.0,0.11206896551724138,0.0603448275862069
41,CA,27,343.0,136275.93930029153,100192.6274052478,36083.311895043735,2.82798833819242,0.008746355685131196,0.23323615160349853,0.10787172011661808,0.282798833819242,0.09620991253644315,0.0,0.16909620991253643,0.3469387755102041
42,CA,29,152.0,157624.79157894733,122483.91710526317,35140.87447368421,2.1315789473684212,0.18421052631578946,0.05263157894736842,0.27631578947368424,0.28289473684210525,0.08552631578947369,0.0,0.2565789473684211,0.09868421052631579
43,CA,31,1.0,40622.4,40622.4,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,CA,35,1.0,100000.0,78894.0,21106.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,CA,39,1.0,60000.0,51771.0,8229.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,CA,41,376.0,187779.74007978727,179236.9760638298,8542.764015957448,3.473404255319149,0.0026595744680851063,0.42819148936170215,0.2127659574468085,0.25,0.15159574468085107,0.0,0.22872340425531915,0.15691489361702127
47,CA,43,2.0,62400.0,61557.59999999999,842.4000000000051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,CA,49,1.0,60000.0,57491.0,2509.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,CA,53,1.0,100000.0,86377.0,13623.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
