,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
0,AL,15,5.0,84282.0,84282.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AR,15,12.0,80412.9,80412.9,0.0,2.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,AZ,13,5.0,121202.0,121202.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,AZ,15,14.0,85160.71428571429,81119.92857142857,4040.785714285714,2.0,1.0,1.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.7857142857142857
4,CA,11,3.0,188614.0,188614.0,0.0,3.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
5,CA,13,11.0,129603.09090909091,129603.09090909091,0.0,2.909090909090909,1.0,1.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453
6,CA,15,158.0,133501.76202531645,133333.7594936709,168.0025316455694,2.2341772151898733,1.0,1.0,0.05063291139240506,0.17088607594936708,0.10126582278481013,0.006329113924050633,0.27848101265822783,0.3924050632911392
7,CA,17,197.0,160925.076142132,160895.02538071066,30.050761421319798,2.487309644670051,1.0,1.0,0.25380710659898476,0.2436548223350254,0.015228426395939087,0.0,0.2436548223350254,0.2436548223350254
8,CO,15,29.0,115627.27586206897,115627.27586206897,0.0,2.6206896551724137,1.0,1.0,0.0,0.13793103448275862,0.1724137931034483,0.0,0.0,0.6896551724137931
9,CT,15,18.0,93775.5,93775.5,0.0,2.5555555555555554,1.0,1.0,0.0,0.05555555555555555,0.5555555555555556,0.0,0.0,0.3888888888888889
10,DC,15,12.0,111945.8,111945.8,0.0,2.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
11,FL,13,13.0,112754.61538461539,110845.0,1909.6153846153845,3.5384615384615383,1.0,1.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.9230769230769231
