USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
SD|4600100|1600000US4600100|01267258|Aberdeen city|25|A|42917116|207389|16.57|0.08|45.464678|-98.468104
SD|4600460|1600000US4600460|01267259|Agar town|43|A|531132|0|0.205|0.|44.839735|-100.07345
SD|4600520|1600000US4600520|02584542|Agency Village CDP|57|S|18522984|46111|7.152|0.018|45.581339|-97.072037
SD|4600540|1600000US4600540|01267260|Akaska town|43|A|1581684|0|0.611|0.|45.331026|-100.120861
SD|4600620|1600000US4600620|01267261|Albee town|43|A|338765|0|0.131|0.|45.051287|-96.553528
SD|4600700|1600000US4600700|01267262|Alcester city|25|A|2665467|0|1.029|0.|43.029736|-96.625923
SD|4600820|1600000US4600820|01267263|Alexandria city|25|A|1614900|0|0.624|0.|43.654039|-97.779917
SD|4600900|1600000US4600900|02393315|Allen CDP|57|S|8402453|0|3.244|0.|43.279136|-101.92651
SD|4601020|1600000US4601020|01267264|Alpena town|43|A|4223899|37282|1.631|0.014|44.183378|-98.368362
SD|4601140|1600000US4601140|01267265|Altamont town|43|A|3248247|0|1.254|0.|44.84078|-96.690152
SD|4601450|1600000US4601450|02584543|Anderson CDP|57|S|1979333|0|0.764|0.|43.519416|-96.614189
SD|4601500|1600000US4601500|01267266|Andover town|43|A|700093|0|0.27|0.|45.410217|-97.903706
SD|4601560|1600000US4601560|02807102|Angostura CDP|57|S|32597362|52996|12.586|0.02|43.318924|-103.390707
SD|4601740|1600000US4601740|02393317|Antelope CDP|57|S|5921077|12527|2.286|0.005|43.309667|-100.62992
SD|4601980|1600000US4601980|02813021|Ardmore CDP|57|S|928692|0|0.359|0.|43.019192|-103.654266
SD|4602180|1600000US4602180|01267267|Arlington city|25|A|4449300|0|1.718|0.|44.363514|-97.133822
SD|4602260|1600000US4602260|01267268|Armour city|25|A|2446057|22408|0.944|0.009|43.319339|-98.344149
SD|4602340|1600000US4602340|01267269|Artas town|43|A|269458|0|0.104|0.|45.887226|-99.806799
SD|4602380|1600000US4602380|01267270|Artesian town|43|A|1434643|0|0.554|0.|44.007895|-97.923709
SD|4602530|1600000US4602530|02393320|Ashland Heights CDP|57|S|7543864|18265|2.913|0.007|44.133411|-103.123712
SD|4602540|1600000US4602540|01267271|Ashton city|25|A|1134531|0|0.438|0.|44.993056|-98.499111
SD|4602580|1600000US4602580|01267272|Astoria town|43|A|406598|0|0.157|0.|44.557732|-96.546499
SD|4602780|1600000US4602780|01267273|Aurora town|43|A|2166701|0|0.837|0.|44.283314|-96.682869
SD|4602860|1600000US4602860|02393323|Aurora Center CDP|57|S|111691|0|0.043|0.|43.527155|-98.589466
SD|4602900|1600000US4602900|01267274|Avon city|25|A|1678478|0|0.648|0.|43.005203|-98.059262
SD|4603060|1600000US4603060|01267275|Badger town|43|A|2747225|0|1.061|0.|44.485502|-97.207868
SD|4603380|1600000US4603380|01267277|Baltic city|25|A|1911965|74628|0.738|0.029|43.760051|-96.736898
SD|4603420|1600000US4603420|01267278|Bancroft town|43|A|602228|0|0.233|0.|44.489368|-97.750501
SD|4603860|1600000US4603860|01267279|Batesland town|43|A|233500|0|0.09|0.|43.127142|-102.101851
SD|4603900|1600000US4603900|02584544|Bath CDP|57|S|751305|0|0.29|0.|45.469166|-98.323581
SD|4603960|1600000US4603960|02584545|Bath Corner CDP|57|S|452164|0|0.175|0.|45.462689|-98.332896
SD|4604380|1600000US4604380|01267280|Belle Fourche city|25|A|23505035|191676|9.075|0.074|44.663798|-103.859143
SD|4604620|1600000US4604620|01267282|Belvidere town|43|A|1968053|190942|0.76|0.074|43.832224|-101.271118
SD|4604980|1600000US4604980|01267283|Beresford city|25|A|4621458|0|1.784|0.|43.079646|-96.780224
SD|4605540|1600000US4605540|02394165|Big Stone City city|25|A|3102330|2266|1.198|0.001|45.308728|-96.472606
SD|4605580|1600000US4605580|02584546|Bijou Hills CDP|57|S|13601215|0|5.251|0.|43.528479|-99.143858
SD|4605620|1600000US4605620|01267285|Bison town|43|A|2572156|0|0.993|0.|45.52355|-102.467716
SD|4605780|1600000US4605780|02393338|Blackhawk CDP|57|S|12270390|0|4.738|0.|44.15138|-103.334003
SD|4606120|1600000US4606120|02584547|Blucksberg Mountain CDP|57|S|1731559|0|0.669|0.|44.359344|-103.453787
SD|4606140|1600000US4606140|02813022|Blumengard Colony CDP|57|S|603093|0|0.233|0.|45.241538|-99.169977
SD|4606180|1600000US4606180|01267287|Blunt city|25|A|1261892|0|0.487|0.|44.51594|-99.988556
SD|4606220|1600000US4606220|01267288|Bonesteel city|25|A|915795|0|0.354|0.|43.077503|-98.946762
SD|4606300|1600000US4606300|02812997|Bon Homme Colony CDP|57|S|1250614|258454|0.483|0.1|42.864698|-97.705191
SD|4606440|1600000US4606440|02807111|Boulder Canyon CDP|57|S|7921713|0|3.059|0.|44.397099|-103.604611
SD|4606540|1600000US4606540|01267289|Bowdle city|25|A|1658874|0|0.64|0.|45.451258|-99.656501
SD|4606620|1600000US4606620|01267290|Box Elder city|25|A|38473602|61382|14.855|0.024|44.110941|-103.081066
SD|4606660|1600000US4606660|01267291|Bradley town|43|A|634961|0|0.245|0.|45.090408|-97.641945
SD|4606840|1600000US4606840|01267292|Brandon city|25|A|15806848|113708|6.103|0.044|43.592908|-96.583769
SD|4606940|1600000US4606940|01267293|Brandt town|43|A|3270722|0|1.263|0.|44.666933|-96.625156
SD|4607040|1600000US4607040|02785126|Brant Lake city|25|A|400839|0|0.155|0.|43.930827|-96.943534
SD|4607044|1600000US4607044|02584548|Brant Lake South CDP|57|S|1360199|1314109|0.525|0.507|43.91086|-96.940771
SD|4607060|1600000US4607060|01267294|Brentford town|43|A|422078|0|0.163|0.|45.159204|-98.322555
SD|4607068|1600000US4607068|02813024|Brentwood Colony CDP|57|S|2256516|282381|0.871|0.109|45.154795|-99.302168
SD|4607140|1600000US4607140|02813068|Bridger CDP|57|S|685293|0|0.265|0.|44.542142|-101.913642
SD|4607180|1600000US4607180|01267295|Bridgewater city|25|A|2914160|0|1.125|0.|43.55021|-97.498384
SD|4607300|1600000US4607300|01267296|Bristol city|25|A|1352128|25641|0.522|0.01|45.343893|-97.744919
SD|4607380|1600000US4607380|01267297|Britton city|25|A|1883698|0|0.727|0.|45.792363|-97.752897
SD|4607420|1600000US4607420|02396603|Broadland town|43|A|2607646|0|1.007|0.|44.493825|-98.346556
SD|4607580|1600000US4607580|01267299|Brookings city|25|A|36268847|204672|14.003|0.079|44.303364|-96.787339
SD|4607740|1600000US4607740|01267300|Bruce city|25|A|958427|0|0.37|0.|44.437787|-96.890642
SD|4608060|1600000US4608060|01267301|Bryant city|25|A|1356424|0|0.524|0.|44.589903|-97.467281
SD|4608140|1600000US4608140|01267302|Buffalo town|43|A|1433936|0|0.554|0.|45.586374|-103.54345
SD|4608340|1600000US4608340|01267303|Buffalo Gap town|43|A|791465|0|0.306|0.|43.492162|-103.315292
SD|4608460|1600000US4608460|02393356|Bullhead CDP|57|S|7807477|197432|3.014|0.076|45.772788|-101.081389
SD|4608500|1600000US4608500|02813011|Burbank CDP|57|S|795073|0|0.307|0.|42.74608|-96.832718
SD|4608700|1600000US4608700|01267304|Burke city|25|A|1448205|0|0.559|0.|43.182821|-99.292304
SD|4608820|1600000US4608820|01267305|Bushnell town|43|A|1847290|0|0.713|0.|44.327409|-96.642346
SD|4608860|1600000US4608860|01267306|Butler town|43|A|752726|0|0.291|0.|45.261992|-97.71161
SD|4609204|1600000US4609204|02813066|Cameron Colony CDP|57|S|316121|0|0.122|0.|43.187805|-97.262696
SD|4609260|1600000US4609260|01267307|Camp Crook town|43|A|361287|0|0.139|0.|45.550073|-103.974931
SD|4609278|1600000US4609278|02813063|Camrose Colony CDP|57|S|928840|0|0.359|0.|44.934285|-98.220169
SD|4609300|1600000US4609300|01267308|Canistota city|25|A|1452100|0|0.561|0.|43.597757|-97.292582
SD|4609420|1600000US4609420|01267309|Canova town|43|A|814035|0|0.314|0.|43.881257|-97.503958
SD|4609500|1600000US4609500|01267310|Canton city|25|A|8468507|40891|3.27|0.016|43.30313|-96.585577
SD|4609780|1600000US4609780|02628841|Caputa CDP|57|S|759254|0|0.293|0.|43.996035|-102.984619
SD|4610220|1600000US4610220|01267311|Carthage city|25|A|3781326|80136|1.46|0.031|44.1648|-97.72028
SD|4610500|1600000US4610500|01267313|Castlewood city|25|A|2979304|0|1.15|0.|44.724158|-97.03092
SD|4610620|1600000US4610620|01267314|Cavour town|43|A|1062526|0|0.41|0.|44.369329|-98.042096
SD|4610835|1600000US4610835|02813002|Cedar Grove Colony CDP|57|S|1224327|49478|0.473|0.019|43.531623|-98.806421
SD|4611060|1600000US4611060|01267316|Centerville city|25|A|1863587|0|0.72|0.|43.116535|-96.959477
SD|4611140|1600000US4611140|01267317|Central City city|25|A|402173|0|0.155|0.|44.368603|-103.770248
SD|4611220|1600000US4611220|01267325|Chamberlain city|25|A|11601453|3097825|4.479|1.196|43.798718|-99.329604
SD|4611380|1600000US4611380|01267326|Chancellor town|43|A|568911|0|0.22|0.|43.371841|-96.987271
SD|4611500|1600000US4611500|01267327|Chelsea town|43|A|820746|0|0.317|0.|45.167557|-98.743376
SD|4611540|1600000US4611540|02813069|Cherry Creek CDP|57|S|1589551|0|0.614|0.|44.604741|-101.499298
SD|4611660|1600000US4611660|02584549|Chester CDP|57|S|2113405|0|0.816|0.|43.899587|-96.927819
SD|4612020|1600000US4612020|01267328|Claire City town|43|A|473738|0|0.183|0.|45.856619|-97.103531
SD|4612100|1600000US4612100|01267329|Claremont town|43|A|649841|13247|0.251|0.005|45.671419|-98.015617
SD|4612148|1600000US4612148|02813027|Claremont Colony CDP|57|S|780357|0|0.301|0.|44.712909|-96.951236
SD|4612180|1600000US4612180|01267330|Clark city|25|A|3505231|0|1.353|0.|44.880911|-97.734839
SD|4612340|1600000US4612340|02813059|Clark Colony CDP|57|S|656052|0|0.253|0.|44.791361|-97.981454
SD|4612508|1600000US4612508|02813005|Clearfield Colony CDP|57|S|783920|0|0.303|0.|43.143876|-98.142073
SD|4612540|1600000US4612540|01267331|Clear Lake city|25|A|8904901|465573|3.438|0.18|44.75629|-96.690239
SD|4612640|1600000US4612640|02807114|Clear Lake CDP|57|S|2528928|4727334|0.976|1.825|45.70436|-97.355801
SD|4613010|1600000US4613010|02813053|Cloverleaf Colony CDP|57|S|240513|0|0.093|0.|44.183904|-97.538334
SD|4613188|1600000US4613188|02813008|Collins Colony CDP|57|S|859350|0|0.332|0.|44.547767|-97.701267
SD|4613220|1600000US4613220|01267332|Colman city|25|A|4879048|2880|1.884|0.001|43.983473|-96.814745
SD|4613300|1600000US4613300|01267333|Colome city|25|A|730421|0|0.282|0.|43.259904|-99.717268
SD|4613355|1600000US4613355|02393382|Colonial Pine Hills CDP|57|S|39544179|0|15.268|0.|44.013744|-103.314952
SD|4613380|1600000US4613380|01267334|Colton city|25|A|1816215|664|0.701|0.|43.787501|-96.928552
SD|4613420|1600000US4613420|01267335|Columbia city|25|A|3928013|0|1.517|0.|45.614824|-98.31064
SD|4613700|1600000US4613700|01267336|Conde city|25|A|1458378|0|0.563|0.|45.157301|-98.095456
SD|4613840|1600000US4613840|02584550|Corn Creek CDP|57|S|5256291|162897|2.029|0.063|43.575749|-101.208522
SD|4613940|1600000US4613940|01267337|Corona town|43|A|655076|0|0.253|0.|45.335225|-96.764581
SD|4613980|1600000US4613980|01267338|Corsica city|25|A|2167284|12813|0.837|0.005|43.422441|-98.407443
