USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
WY|5600245|1600000US5600245|02412337|Afton town|43|A|11536843|15902|4.454|0.006|42.72634|-110.932032
WY|5600680|1600000US5600680|02407710|Albany CDP|57|S|28417514|0|10.972|0.|41.186857|-106.12549
WY|5600825|1600000US5600825|02412343|Albin town|43|A|379882|0|0.147|0.|41.416941|-104.101549
WY|5601115|1600000US5601115|02407712|Alcova CDP|57|S|3138502|98270|1.212|0.038|42.553333|-106.729461
WY|5601695|1600000US5601695|02412353|Alpine town|43|A|2695456|6843|1.041|0.003|43.172857|-111.020875
WY|5601888|1600000US5601888|02407727|Alpine Northeast CDP|57|S|13072855|0|5.047|0.|43.193792|-111.007147
WY|5601936|1600000US5601936|02407728|Alpine Northwest CDP|57|S|3020244|34240|1.166|0.013|43.183825|-111.035584
WY|5601985|1600000US5601985|02407730|Alta CDP|57|S|21571326|0|8.329|0.|43.773624|-111.031262
WY|5602877|1600000US5602877|02407746|Antelope Hills CDP|57|S|34488821|133978|13.316|0.052|43.081136|-106.312584
WY|5603000|1600000US5603000|02407752|Arapahoe CDP|57|S|71585166|560269|27.639|0.216|42.992567|-108.45273
WY|5603245|1600000US5603245|02629261|Arlington CDP|57|S|10475996|0|4.045|0.|41.605258|-106.199739
WY|5603652|1600000US5603652|02407765|Arrowhead Springs CDP|57|S|2985549|0|1.153|0.|41.508174|-109.155085
WY|5603725|1600000US5603725|02407770|Arvada CDP|57|S|4529776|0|1.749|0.|44.662179|-106.141976
WY|5604015|1600000US5604015|02407777|Atlantic City CDP|57|S|20188272|0|7.795|0.|42.501195|-108.732896
WY|5604160|1600000US5604160|02407780|Auburn CDP|57|S|9479236|0|3.66|0.|42.79694|-111.021506
WY|5604740|1600000US5604740|02411659|Baggs town|43|A|1308869|7279|0.505|0.003|41.034658|-107.657281
WY|5604885|1600000US5604885|02411661|Bairoil town|43|A|3662146|0|1.414|0.|42.237202|-107.561048
WY|5605245|1600000US5605245|02411663|Bar Nunn town|43|A|5436345|0|2.099|0.|42.921992|-106.347429
WY|5605320|1600000US5605320|02411666|Basin town|43|A|6120351|74144|2.363|0.029|44.380564|-108.047094
WY|5605625|1600000US5605625|02411670|Bear River town|43|A|5363739|0|2.071|0.|41.385511|-111.028202
WY|5606045|1600000US5606045|02407821|Bedford CDP|57|S|12859072|0|4.965|0.|42.89468|-110.928565
WY|5606407|1600000US5606407|02407833|Bessemer Bend CDP|57|S|6515759|0|2.516|0.|42.756119|-106.517515
WY|5606480|1600000US5606480|02585079|Beulah CDP|57|S|1431414|0|0.553|0.|44.545961|-104.08279
WY|5606770|1600000US5606770|02407840|Big Horn CDP|57|S|4677277|0|1.806|0.|44.679076|-106.997071
WY|5607060|1600000US5607060|02411687|Big Piney town|43|A|1315541|0|0.508|0.|42.540168|-110.119343
