,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,out_of_state_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
0,AL,15,5.0,84282.0,84282.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
1,AR,15,12.0,80412.9,80412.9,0.0,2.0,1.0,1.0,1.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
2,AZ,13,5.0,121202.0,121202.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
3,AZ,15,14.0,85160.71428571429,81119.92857142857,4040.785714285714,2.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.21428571428571425
4,CA,11,3.0,188614.0,188614.0,0.0,3.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
5,CA,13,11.0,129603.09090909091,129603.09090909091,0.0,2.909090909090909,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091
6,CA,15,158.0,133501.76202531645,133333.7594936709,168.0025316455694,2.2341772151898733,1.0,1.0,1.0,0.008966244725738396,0.04694092827004218,0.020042194092827006,0.0010548523206751054,0.05959915611814347,0.11023206751054854
7,CA,17,197.0,160925.076142132,160895.02538071066,30.050761421319798,2.487309644670051,1.0,1.0,1.0,0.017258883248730966,0.015228426395939087,0.003045685279187817,0.0,0.015228426395939087,0.015228426395939087
8,CO,15,29.0,115627.27586206897,115627.27586206897,0.0,2.6206896551724137,1.0,1.0,1.0,0.0,0.04597701149425287,0.034482758620689655,0.0,0.0,0.1954022988505747
9,CT,15,18.0,93775.5,93775.5,0.0,2.5555555555555554,1.0,1.0,1.0,0.0,0.018518518518518517,0.1111111111111111,0.0,0.0,0.09259259259259259
10,DC,15,12.0,111945.8,111945.8,0.0,2.0,1.0,1.0,1.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
11,FL,13,13.0,112754.61538461539,110845.0,1909.6153846153845,3.5384615384615383,1.0,1.0,1.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.20512820512820512
12,FL,15,27.0,88917.07407407407,88917.07407407407,0.0,2.5555555555555554,1.0,1.0,1.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.0,0.1111111111111111
13,GA,15,114.0,101700.28245614034,99666.88771929823,2033.3947368421052,2.710526315789474,1.0,1.0,1.0,0.007894736842105262,0.01374269005847953,0.05175438596491228,0.0043859649122807015,0.007894736842105262,0.11608187134502923
14,IA,15,6.0,86400.0,74360.0,12040.0,2.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222
15,ID,15,8.0,108035.375,78499.125,29536.25,3.25,1.0,1.0,1.0,0.025,0.06666666666666667,0.025,0.0,0.025,0.10833333333333334
16,IL,13,8.0,102104.75,102104.75,0.0,3.25,1.0,1.0,1.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.20833333333333331
17,IL,15,59.0,93760.10169491525,93760.10169491525,0.0,2.3389830508474576,1.0,1.0,1.0,0.01694915254237288,0.025423728813559317,0.07627118644067797,0.00847457627118644,0.01694915254237288,0.07627118644067797
18,IN,13,5.0,118206.0,118206.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
19,KS,15,9.0,80695.0,71850.33333333333,8844.666666666666,2.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222
20,KS,29,2.0,64480.0,41184.0,23296.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
21,KY,15,11.0,78939.90909090909,72611.0,6328.909090909091,2.272727272727273,1.0,1.0,1.0,0.0,0.0606060606060606,0.0,0.0,0.0,0.2121212121212121
22,MA,13,3.0,135450.0,135450.0,0.0,3.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222
23,MA,15,42.0,112243.65714285713,111778.18095238095,465.4761904761905,2.142857142857143,1.0,1.0,1.0,0.007936507936507936,0.05555555555555556,0.007936507936507936,0.007936507936507936,0.055555555555555546,0.126984126984127
24,MD,15,10.0,149698.0,149698.0,0.0,4.0,1.0,1.0,1.0,0.04,0.04,0.04,0.0,0.04,0.04
25,MI,15,47.0,95236.28936170212,92585.36595744682,2650.92340425532,2.4468085106382977,1.0,1.0,0.7659574468085106,0.0673758865248227,0.10283687943262412,0.0673758865248227,0.0673758865248227,0.11702127659574468,0.17375886524822695
26,MN,13,10.0,124446.0,124446.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
27,MN,15,31.0,97217.35483870968,96526.70967741935,690.6451612903226,2.3225806451612905,1.0,1.0,1.0,0.01935483870967742,0.04301075268817204,0.04516129032258064,0.0,0.06451612903225806,0.11827956989247311
28,MO,15,24.0,78429.25,74885.25,3544.0,2.0,1.0,1.0,1.0,0.0,0.10416666666666667,0.0,0.0,0.041666666666666664,0.1875
